record_type,type_id,type_name_zh,type_name_en,dimension,section,seq,slot,func,variant_no,is_default,optional,sentence_key,text,blanks,note_zh
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,intro,10,I1,background,1,1,0,i1_debate,"In modern society, T has become a subject of considerable debate.",T,背景：中性議題用這句
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,intro,20,I2,paraphrase,1,1,0,i2_believe_v_opposite,"Some people believe that V, while others hold the opposite opinion.",V,改寫兩方觀點
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,intro,30,I3,thesis,1,1,0,i3_strongly_adhere,"From where I stand, I strongly adhere to / oppose the said notion above for the following reasons.",,表態（strongly＝部分同意語氣）
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body1,40,B1-1,topic_sentence,1,1,0,b_first_reason,"To begin with, the first reason is that R1.",R1,理由一
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body1,50,B1-2,explain,1,1,0,expl_this_is_because,This is because E1.,E1,解釋：為什麼
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body1,60,B1-3,example,1,1,0,eg_for_example,"For example, Ex1.",Ex1,舉例
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body1,70,B1-4,result,1,1,0,res_as_a_result,"As a result, Res1.",Res1,結果
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body1,80,B1-5,concession,1,1,1,conc_however_h,"However, H1.",H1,讓步（可省略，先背骨架時可跳過）
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body2,100,B2-1,topic_sentence,1,1,0,b_another_reason,Another reason is that R2.,R2,理由二
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body2,110,B2-2,explain,1,1,0,expl_this_means_that,This means that E2.,E2,解釋：所以
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body2,120,B2-3,example,1,1,0,eg_for_instance,"For instance, Ex2.",Ex2,舉例
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body2,130,B2-4,result,1,1,0,res_consequently,"Consequently, Res2.",Res2,結果
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,body2,140,B2-5,concession,1,1,1,conc_nevertheless_h,"Nevertheless, H2.",H2,讓步（可省略）
sentence,1,1. 同意程度（To What Extent）,to_what_extent,single,conclusion,160,C,summary,1,1,0,c_in_conclusion_t_b1_b2,"In conclusion, T + B1 and B2.",T;B1;B2,總結兩個理由（B1/B2＝兩段的理由，非段落代號）
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,intro,10,I1,background,1,1,0,i1_debate,"In modern society, T has become a subject of considerable debate.",T,背景：中性議題用這句
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,intro,20,I2,paraphrase,1,1,0,i2_beneficial_vs_harm,"Some people assert that this trend is beneficial, while others claim it brings more harm.",,改寫兩方觀點
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,intro,30,I3,thesis,1,1,0,i3_benefits_dominate,"From where I stand, the benefits of this trend dominate its drawbacks.",,表態：利大於弊
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body1,40,B1-1,topic_sentence,1,1,0,b_one_main_benefit_of_t,One main benefit of T is A1.,T;A1,好處一
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body1,50,B1-2,explain,1,1,0,expl_this_is_because,This is because E1.,E1,解釋：為什麼
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body1,60,B1-3,example,1,1,0,eg_for_example,"For example, Ex1.",Ex1,舉例
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body1,70,B1-4,result,1,1,0,res_as_a_result,"As a result, Res1.",Res1,結果
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body1,80,B1-5,concession,1,1,1,conc_however_h,"However, H1.",H1,讓步（可省略）
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body2,100,B2-1,topic_sentence,1,1,0,b_another_merit,Another merit is A2.,A2,好處二
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body2,110,B2-2,explain,1,1,0,expl_this_means_that,This means that E2.,E2,解釋：所以
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body2,120,B2-3,example,1,1,0,eg_for_instance,"For instance, Ex2.",Ex2,舉例
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body2,130,B2-4,result,1,1,0,res_consequently,"Consequently, Res2.",Res2,結果
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,body2,140,B2-5,concession,1,1,1,conc_nevertheless_h,"Nevertheless, H2.",H2,讓步（可省略）
sentence,2,2. 優點大於缺點（Adv Outweigh）,adv_outweigh,single,conclusion,160,C,summary,1,1,0,c_although_drawbacks_adv_significant,"In conclusion, although T has certain drawbacks, its advantages in B1 and B2 are far more significant.",T;B1;B2,總結：讓步＋重申利大於弊
sentence,3,3. 正面或負面發展（Pos or Neg）,positive_or_negative,single,intro,10,I1,background,1,1,0,i1_debate,"In modern society, T has become a subject of considerable debate.",T,背景：中性議題用這句
sentence,3,3. 正面或負面發展（Pos or Neg）,positive_or_negative,single,intro,20,I2,paraphrase,1,1,0,i2_positive_vs_detrimental,"Some people regard this trend as positive, while others view it as detrimental.",,改寫兩方觀點
sentence,3,3. 正面或負面發展（Pos or Neg）,positive_or_negative,single,intro,30,I3,thesis,1,1,0,i3_more_beneficial,"From where I stand, I believe this trend could be regarded as more beneficial to society than disadvantageous.",,表態：正面發展
sentence,3,3. 正面或負面發展（Pos or Neg）,positive_or_negative,single,body1,40,B1-1,topic_sentence,1,1,0,b_one_main_adv_effect,One main advantageous effect of T is P1.,T;P1,正面影響一（P＝positive point）
sentence,3,3. 正面或負面發展（Pos or Neg）,positive_or_negative,single,body1,50,B1-2,explain,1,1,0,expl_this_is_because,This is because E1.,E1,解釋：為什麼
sentence,3,3. 正面或負面發展（Pos or Neg）,positive_or_negative,single,body1,60,B1-3,example,1,1,0,eg_for_example,"For example, Ex1.",Ex1,舉例
sentence,3,3. 正面或負面發展（Pos or Neg）,positive_or_negative,single,body1,70,B1-4,result,1,1,0,res_as_a_result,"As a result, Res1.",Res1,結果
sentence,3,3. 正面或負面發展（Pos or Neg）,positive_or_negative,single,body1,80,B1-5,concession,1,1,1,conc_however_h,"However, H1.",H1,讓步（可省略）
